Probeta;ID-3;ID-4;Fecha;Colada Nº;Calidad;Cantidad PF/ Detalle;Cantidad Aros / Detalle;C;Si;Mn;P;S;Cr;Ni;Mo;Cu;V
A 001;MIGUEL ABAD;CARRERA;06/07/2010;14 F H3;NOD_FIN_FER;POLEA(2/7)B6-7/C6-7/R2J30/6;;3,74;2,19;0,404;0,03;0,018;0,105;0,03;0,01;0,02;<0.001
A 002;MIGUEL ABAD;CARRERA;07/07/2010;20 F H3;NOD_FIN_FER;(6/7)F6-7(5/7)N6-7(28/6)R2O;POLEA DE FRENO(2);3,55;2,04;0,235;0,017;0,015;0,033;0,019;0,005;0,016;<0.001
A 003;MIGUEL ABAD;CARRERA;05/07/2010;9 F H3;NOD_FIN_FER;28/6 R1M-R1K-R2I-R2G-R2N-R1L;29/6 R1G-R1E-R1B-R2A//30/6 R2I;3,64;2,21;0,284;0,018;0,008;0,054;0,02;0,008;0,017;0,001
A 004;MIGUEL ABAD-ICEMEC;CRIS;14/07/2010;51 F H4;SAE 4140;BRAZO DERECHO E IZQUIERDO;TAPONES TL 2.5-150;0,41;0,35;0,94;0,02;0,015;1;0,311;0,246;0,035;0,011
A 005;MIGUEL ABAD;CRIS;02/08/2010;90 F H3;NOD_FIN_PER;CIGUENALE(4)-ANILLO(1)-POLEA(1;21/7 F67-B67//29/7 B67-E67-S/I;3,74;2,44;0,66;0,024;0,013;0,121;0,029;0,014;0,022;0,003
ABAD;MIGUEL ABAD;CRIS;12/08/2010;1000 F H1;NOD_FIN_FER;TPA MTO 001(1);10/8 R1O-R1N-R1M;3,64;2,59;0,51;0,043;0,018;0,046;0,025;0,007;0,016;<0.001
ABAD;MIGUEL ABAD;CRIS;12/08/2010;999 F H1;NOD_FIN_FER;TPA MTO 001(1);;3,74;2,23;0,45;0,03;0,02;0,098;0,041;0,01;0,062;0,001
ABAD;MIGUEL ABAD;CRIS;13/08/2010;1006 F H1;SAE 4140;CAMISA MCO 001;;0,38;0,35;0,95;0,035;0,015;1,1;0,047;0,196;0,024;0,011
AR 1018;;CARRERA;30/08/2010;210 F H3;WCB;;;0,247;0,54;0,76;0,016;0,011;0,087;0,054;0,014;0,025;0,005
AR 1033;;CARRERA;05/08/2010;974 F H1;WCB;CUNA E8-300(6);;0,199;0,394;0,81;0,015;0,016;0,065;0,02;0,017;0,064;0,002
AR 1047;ICEMEC;CRIS;25/08/2010;1054 F H2;WCB;PATINES;;0,227;0,456;0,82;0,019;0,013;0,164;0,081;0,017;0,036;0,007
AR 1057;;CARRERA;03/09/2010;232 F H3;WCB;CPO E2-300(1);;0,202;0,53;0,89;0,017;0,013;0,121;0,054;0,017;0,022;0,002
AR 1068;J451#16/AR1068#32/AR1817#2;CARRERA;20/07/2010;886 F H1;WCB;CUNA E2-300/600(3);;0,234;0,447;0,87;0,021;0,014;0,051;0,032;0,014;0,022;0,002
AR 1097;;CARRERA;24/08/2010;1052 F H2;WCB;;;0,207;0,56;0,93;0,017;0,009;0,093;0,053;0,015;0,028;0,007
AR 1098;;CRIS;21/07/2010;891 F H1;WCB;CUNA E2-300/600-F;;0,207;0,315;0,94;0,024;0,009;0,123;0,035;0,015;0,014;0,003
AR 1222;J633/J634/CANTARUTTI/AR1222;CARRERA;02/07/2010;795 F H2; WCB;ANILLO 6-600;;0,261;0,492;0,85;0,016;0,01;0,044;0,029;0,015;0,019;0,002
AR 1261;AR1261/AR1323/AR1306/AR1363;CARRERA;13/07/2010;843 F H1;WCB;BTE E2-150(4);;0,236;0,481;0,8;0,019;0,015;0,126;0,035;0,018;0,035;0,007
AR 1288;;CRIS;23/08/2010;177 F H3;WCB;;;0,194;0,363;0,87;0,016;0,009;0,342;0,146;0,031;0,029;0,004
